"Basin","split","GenAI-TFs_NSE","GenAI-TFs_KGE","Default-mHM-TFs_NSE","Default-mHM-TFs_KGE","LSTM_NSE","LSTM_KGE"
6335115,"Validation",0.732207007,0.679059109,0.492166817633826,0.491310506048923,-0.310683369636536,-0.353418916492335
6335125,"Training",0.784970756397534,0.735555752228015,0.817271932117961,0.805783658811473,0.96563333272934,0.954040522277751
6335290,"Validation",0.702474214,0.616327727,0.382968013569942,0.508005594929278,0.49481201171875,0.341766652424725
6335304,"Validation",0.836538804,0.897638279,-0.446314265755076,0.0746205352100688,0.116072714328766,-0.00606835425811703
6335350,"Validation",0.739314086,0.614641147,0.727817678828526,0.649405040441983,0.11817079782486,0.0362754239319949
6335600,"Validation",0.757566276,0.784612601,-0.0688734623125447,0.285807227555402,0.0845343470573425,-0.0283358464965118
6335601,"Validation",0.748838419,0.82297496,-0.261079345641834,0.201939485003218,0.143667578697205,0.0924422064969492
6335602,"Validation",0.675089682,0.610423834,0.432492152902251,0.59761400149,0.0693896412849426,0.024359107968662
6335800,"Validation",0.802779841,0.710834583,0.508221732228543,0.601217968240417,0.0885144472122192,-0.0122604392830736
6337200,"Validation",0.816131926,0.869027902,-1.05130349273484,0.00759592052581237,-0.170670628547668,-0.345361275846493
6337500,"Validation",0.819957942,0.901058328,-0.179533055602853,0.27837590102644,0.401903092861176,0.345242585521671
6337501,"Validation",0.398346978,0.66637178,-4.00342378621041,-0.693333642403164,-0.205245494842529,0.2506845737495
6337502,"Validation",0.608213002,0.797148285,-2.74961149988922,-0.427988204098393,-0.573137044906616,-0.0329437218667556
6337504,"Validation",0.690512372,0.543771519,0.75403411729844,0.592084553708677,0.753688275814056,0.634789778748202
6337506,"Validation",0.795562516,0.803034791,0.546347316838991,0.574118780033208,0.0970484614372253,0.105638545130221
6337507,"Validation",0.788276578,0.865220559,0.247697149753506,0.445134390310993,-0.111917018890381,-0.0296934692024557
6337508,"Validation",0.781161264,0.762037444,0.606852176518044,0.628602127865497,0.359937131404877,0.260743679113646
6337509,"Validation",0.818265148,0.875508467,-0.303253344755701,0.249534455077484,0.179579496383667,0.114756025063895
6337510,"Validation",0.740992472,0.862062929,-0.816233838896294,0.131336831579775,-0.0428608655929565,0.198008042953753
6337511,"Validation",0.878419554,0.938895369,-0.0190824139909052,0.342487167179531,-0.0977967977523804,-0.109314446744329
6337512,"Validation",0.883598554,0.930286001,0.171114744487266,0.417706392529776,-0.0400478839874268,-0.0701989997772123
6337513,"Validation",0.867042064,0.920335123,-0.0864140630194672,0.261706749852247,0.0664041042327881,0.0895810813262417
6338110,"Validation",0.68647093,0.679401958,-0.177933330180426,0.325011025240375,0.195795297622681,0.132644016721171
6338130,"Validation",0.696754108,0.650345302,0.0592611224656053,0.383264887819971,0.206801414489746,0.152564116965032
6340200,"Validation",0.297597945,0.501562438,-4.99102122336465,-0.898386138314006,-2.62677550315857,-0.240678314293355
6340300,"Validation",0.41854536,0.578998549,-3.20263085859733,-0.552041483481821,-0.182972073554993,-0.0117660570315017
6340302,"Validation",0.675978369,0.7507718,0.416641880276563,0.66955367614279,0.331243753433228,0.279612457808209
6340600,"Validation",0.793425803,0.689793323,0.724262516714893,0.794901609972129,-0.176180720329285,0.117761038680911
6342520,"Validation",0.791664865,0.888122506,-1.66350450730035,-0.149755982842645,0.733954071998596,0.680653855139871
6342800,"Validation",0.429129931,0.686336953,0.155551639994631,0.357246917225923,-2.34596109390259,-0.511904998267219
9304031,"Training",0.472367179442886,0.692755406403085,0.303858470453214,0.709382666676086,0.940471589565277,0.954212332530853
9304037,"Validation",-0.32157031,-0.103084289,-0.578483355377507,-0.0431048404469649,-0.194686651229858,-0.235843750379666
9304042,"Training",-0.049423524500952,0.538615279145676,-0.362372252087738,0.563588334136328,0.905454933643341,0.947821306315635
9304045,"Training",0.505991932463588,0.212860071684361,0.284605292739022,-0.108813527358784,0.950080752372742,0.918898446636753
9304047,"Validation",0.694308884,0.573359803,0.772727742292694,0.859182118741013,0.396302163600922,0.278427648202672
9304050,"Training",0.774195701697748,0.770761009204417,0.773570894808956,0.761443252520369,0.916316211223602,0.804041101081902
9304051,"Training",0.791830939726561,0.796235320393659,0.762725970660094,0.776268202385526,0.832415461540222,0.594058153676431
9304060,"Validation",0.803105667,0.743576379,0.601583486252174,0.738080952598976,0.701105356216431,0.593267012650045
9304063,"Training",0.248916389308332,0.73137886050572,0.615409988605337,0.852917744612103,0.926801145076752,0.852788416004269
9304065,"Training",0.626889042937885,0.698632513007218,0.562271924758051,0.815821328511287,0.924373865127563,0.899756914043075
9304066,"Validation",0.706864897,0.846220262,-1.46365018811919,-0.194515867606788,0.763551831245422,0.871276580535907
9304067,"Training",0.674774424285263,0.796425073610413,0.730528621849729,0.840545675333717,0.916170477867126,0.92922150535136
9304069,"Training",0.662702569320535,0.751626371639014,0.643686610668194,0.790083211655542,0.795391321182251,0.821836110227836
9304070,"Training",0.35000585556812,0.0705686280310363,0.438101093692271,0.458649382572481,0.879822015762329,0.866087538830957
9304084,"Training",0.724815786578934,0.743964644050516,0.788869841986853,0.762671783556889,0.643307685852051,0.527731431791959
9304085,"Validation",0.745862153,0.710745651,-0.0454800617044329,0.173397679857177,0.699594795703888,0.731711099541537
9304086,"Validation",0.767464748,0.65265455,0.808050446858005,0.726672786347129,0.816343724727631,0.859753986937198
9304088,"Validation",0.654091407,0.779250537,-0.381089547138352,0.0683648418233764,0.612503170967102,0.697531392252495
